code,value
DE409,50.5
DE40A,49.6
DE40B,53.6
DE40C,51.7
DE40D,52.3
DE40E,49.9
DE40F,53.8
DE40G,55.2
DE40H,47.5
DE40I,54.4
DE5,42.2
DE50,42.2
DE501,42.1
DE502,43.0
DE6,41.0
DE60,41.0
DE600,41.0
DE7,44.8
DE71,44.1
DE711,38.0
DE712,39.7
DE713,39.9
DE714,42.9
DE715,47.5
DE716,46.4
DE717,43.6
DE718,47.6
DE719,46.0
DE71A,46.1
DE71B,49.3
DE71C,45.0
DE71D,49.0
DE71E,46.5
DE72,45.1
DE721,41.9
DE722,46.7
DE723,46.9
DE724,43.5
DE725,50.5
DE73,47.1
DE731,41.4
DE732,45.4
DE733,49.0
DE734,49.5
DE735,48.5
DE736,48.4
DE737,50.6
DE8,50.9
DE80,50.9
DE803,44.9
DE804,47.8
DE80J,53.1
DE80K,51.2
DE80L,53.2
DE80M,50.5
DE80N,51.5
DE80O,51.7
DE9,46.3
DE91,46.5
DE911,43.1
DE912,44.7
DE913,43.8
DE914,46.4
DE916,51.7
DE917,48.5
DE918,50.8
DE91A,46.4
DE91B,49.4
DE91C,46.2
DE92,46.2
DE922,47.8
DE923,49.4
DE925,47.6
DE926,50.5
DE927,47.7
DE928,49.8
DE929,44.4
DE93,47.7
DE931,47.4
DE932,50.4
DE933,47.4
DE934,53.3
DE935,45.6
DE936,49.3
DE937,46.9
DE938,47.6
DE939,46.0
DE93A,50.4
DE93B,46.7
DE94,45.4
DE941,44.9
DE942,44.9
DE943,41.9
DE944,40.3
DE945,47.4
DE946,48.1
DE947,49.4
DE948,41.5
DE949,44.3
DE94A,51.0
DE94B,45.5
DE94C,46.5
DE94D,47.7
DE94E,46.6
DE94F,41.9
DE94G,49.0
DE94H,50.7
DEA,45.0
DEA1,45.2
DEA11,42.0
DEA12,43.1
DEA13,43.7
DEA14,45.6
DEA15,44.2
DEA16,46.7
DEA17,45.7
DEA18,45.7
DEA19,46.0
DEA1A,43.4
DEA1B,45.5
DEA1C,48.1
DEA1D,46.8
DEA1E,48.4
DEA1F,48.7
DEA2,44.3
DEA22,41.1
DEA23,41.3
DEA24,44.9
DEA26,45.6
DEA27,45.6
DEA28,47.2
DEA29,46.6
DEA2A,46.3
DEA2B,48.6
DEA2C,46.8
DEA2D,42.5
DEA3,45.0
DEA31,47.4
DEA32,42.8
DEA33,39.1
DEA34,44.6
DEA35,47.1
DEA36,47.3
DEA37,45.4
DEA38,46.5
DEA4,45.1
DEA41,42.2
DEA42,45.2
DEA43,46.8
DEA44,48.4
DEA45,46.5
DEA46,46.2
DEA47,43.0
DEA5,45.7
DEA51,44.0
DEA52,42.8
DEA53,44.1
DEA54,44.4
DEA55,44.9
DEA56,48.6
DEA57,48.0
DEA58,47.4
DEA59,46.4
DEA5A,45.4
DEA5B,47.1
DEA5C,47.8
DEB,46.3
DEB1,47.2
DEB11,42.4
DEB12,49.1
DEB13,47.0
DEB14,48.0
DEB15,48.5
DEB17,46.8
DEB18,46.7
DEB1A,48.2
DEB1B,46.9
DEB1C,50.3
