code,value
AL,1394864.0
AL0,1394864.0
AL01,385462.0
AL011,51030.0
AL012,143757.0
AL013,34783.0
AL014,58164.0
AL015,97728.0
AL02,598531.0
AL021,128470.0
AL022,470061.0
AL03,410871.0
AL031,56370.0
AL032,136104.0
AL033,27907.0
AL034,98437.0
AL035,92053.0
AT,4619957.0
AT1,2039851.0
AT11,153737.0
AT111,19182.0
AT112,84396.0
AT113,50159.0
AT12,873142.0
AT121,125311.0
AT122,135892.0
AT123,81330.0
AT124,109226.0
AT125,64542.0
AT126,175140.0
AT127,181701.0
AT13,1012972.0
AT130,1012972.0
AT2,930196.0
AT21,290513.0
AT211,152472.0
AT212,63051.0
AT213,74990.0
AT22,639683.0
AT221,232848.0
AT222,40820.0
AT223,80441.0
AT224,134659.0
AT225,100790.0
AT226,50125.0
AT3,1649910.0
AT31,764882.0
AT311,147874.0
AT312,308162.0
AT313,106071.0
AT314,79418.0
AT315,123357.0
AT32,290156.0
AT321,10340.0
AT322,87191.0
AT323,192625.0
AT33,390667.0
AT331,16937.0
AT332,160491.0
AT333,24691.0
AT334,54117.0
AT335,134431.0
AT34,204205.0
AT341,47043.0
AT342,157162.0
BE,5946649.0
BE1,635466.0
BE10,635466.0
BE100,635466.0
BE2,3425019.0
BE21,964217.0
BE211,544826.0
BE212,181340.0
BE213,238051.0
BE22,450472.0
BE223,105019.0
BE224,216622.0
BE225,128831.0
BE23,789908.0
BE231,153775.0
BE232,104736.0
BE233,44464.0
BE234,289693.0
BE235,64424.0
BE236,132816.0
BE24,604909.0
BE241,340054.0
BE242,264855.0
BE25,615513.0
BE251,145132.0
BE252,26171.0
BE253,54000.0
BE254,151479.0
BE255,80642.0
BE256,79237.0
BE257,47440.0
BE258,31412.0
BE3,1886164.0
BE31,213096.0
BE310,213096.0
BE32,696415.0
BE323,134358.0
BE328,115151.0
BE329,73306.0
BE32A,66418.0
BE32B,205097.0
BE32C,55000.0
BE32D,47085.0
BE33,571040.0
BE331,58943.0
BE332,321814.0
BE334,42845.0
BE335,107367.0
BE336,40071.0
BE34,148513.0
BE341,32841.0
BE342,25528.0
BE343,29111.0
BE344,33045.0
BE345,27988.0
BE35,257100.0
BE351,57679.0
BE352,165155.0
BE353,34266.0
BG,3348207.0
BG3,1624080.0
BG31,347191.0
BG311,37819.0
BG312,59889.0
BG313,76708.0
BG314,114287.0
BG315,58488.0
BG32,358050.0
BG321,106505.0
BG322,50457.0
BG323,99032.0
BG324,52599.0
BG325,49457.0
BG33,427103.0
BG331,223689.0
BG332,76760.0
BG333,77114.0
BG334,49540.0
BG34,491736.0
BG341,196617.0
BG342,88305.0
BG343,55289.0
BG344,151525.0
BG4,1724127.0
BG41,1049005.0
BG411,669334.0
BG412,116478.0
BG413,148400.0
BG414,58310.0
BG415,56483.0
BG42,675122.0
BG421,330242.0
BG422,107273.0
BG423,116380.0
BG424,48680.0
BG425,72547.0
CH,4435432.0
CH0,4435432.0
CH01,866776.0
CH011,422222.0
CH012,179447.0
CH013,265107.0
CH02,969981.0
CH021,534632.0
CH022,166896.0
CH023,141240.0
CH024,89914.0
CH025,37299.0
CH03,604304.0
CH031,100849.0
CH032,149976.0
CH033,353479.0
CH04,791121.0
CH040,791121.0
CH05,604873.0
CH051,20496.0
CH052,42896.0
CH053,27645.0
CH054,8008.0
CH055,261446.0
CH056,100778.0
CH057,143604.0
CH06,416691.0
CH061,212830.0
CH062,18310.0
CH063,80198.0
CH064,19126.0
CH065,21637.0
CH066,64590.0
CH07,181686.0
CH070,181686.0
CY,483955.0
CY0,483955.0
CY00,483955.0
CY000,483955.0
CZ,5519006.0
CZ0,5519006.0
CZ01,700944.0
CZ010,700944.0
CZ02,732206.0
CZ020,732206.0
CZ03,639150.0
CZ031,330951.0
CZ032,308199.0
CZ04,562683.0
CZ041,150225.0
CZ042,412458.0
CZ05,778724.0
CZ051,228742.0
CZ052,282511.0
CZ053,267471.0
CZ06,879881.0
CZ063,259080.0
CZ064,620801.0
CZ07,618438.0
CZ071,322762.0
CZ072,295676.0
CZ08,606980.0
CZ080,606980.0
DE,42198796.0
DE1,5636297.0
DE11,2083061.0
DE111,307492.0
DE112,196950.0
DE113,268161.0
DE114,129651.0
DE115,269500.0
DE116,221582.0
DE117,64492.0
DE118,175687.0
DE119,56887.0
DE11A,99216.0
DE11B,66568.0
DE11C,67761.0
DE11D,159114.0
DE12,1428664.0
DE121,29458.0
DE122,151312.0
DE123,227555.0
DE124,116439.0
DE125,80690.0
DE126,158046.0
DE127,72508.0
DE128,283068.0
DE129,68169.0
DE12A,80126.0
DE12B,100527.0
DE12C,60766.0
DE13,1171073.0
DE131,122907.0
DE132,136940.0
DE133,85059.0
DE134,221243.0
DE135,70133.0
DE136,107472.0
DE137,71709.0
DE138,148914.0
DE139,120105.0
DE13A,86591.0
DE14,953499.0
DE141,147469.0
DE142,118960.0
DE143,97688.0
DE144,64920.0
DE145,99769.0
DE146,101941.0
DE147,111760.0
DE148,144823.0
DE149,66169.0
DE2,6621769.0
DE21,2381640.0
DE211,68273.0
DE212,760681.0
DE213,32368.0
DE214,56866.0
DE215,53400.0
DE216,65475.0
DE217,75677.0
DE218,71561.0
DE219,66253.0
DE21A,69116.0
DE21B,89140.0
DE21C,110121.0
DE21D,46319.0
DE21E,60398.0
DE21F,49335.0
DE21G,59552.0
DE21H,177062.0
DE21I,48808.0
DE21J,63332.0
DE21K,129770.0
DE21L,71734.0
DE21M,87090.0
DE21N,69309.0
DE22,623121.0
DE221,35229.0
DE222,26987.0
DE223,23309.0
DE224,60089.0
DE225,39432.0
DE226,61821.0
DE227,79780.0
DE228,97270.0
DE229,38912.0
DE22A,60320.0
DE22B,51399.0
DE22C,48573.0
DE23,556908.0
DE231,21522.0
DE232,75358.0
DE233,21795.0
DE234,51864.0
DE235,63568.0
DE236,67874.0
DE237,48181.0
DE238,96212.0
DE239,73923.0
DE23A,36611.0
DE24,534392.0
DE241,38031.0
DE242,37091.0
DE243,20970.0
DE244,23574.0
DE245,73916.0
DE246,52086.0
DE247,42650.0
DE248,58410.0
DE249,47506.0
DE24A,32996.0
DE24B,36435.0
DE24C,34301.0
DE24D,36426.0
DE25,904136.0
DE251,20431.0
DE252,57574.0
DE253,66694.0
DE254,267140.0
DE255,21017.0
DE256,93099.0
DE257,69608.0
DE258,60387.0
DE259,86115.0
DE25A,50140.0
DE25B,64469.0
DE25C,47462.0
DE26,663770.0
DE261,36893.0
DE262,27135.0
DE263,68935.0
DE264,86321.0
DE265,52533.0
DE266,39784.0
DE267,41658.0
DE268,45352.0
DE269,64005.0
DE26A,63101.0
DE26B,56933.0
DE26C,81120.0
DE27,957802.0
DE271,150505.0
DE272,23080.0
DE273,33352.0
DE274,22262.0
DE275,67853.0
DE276,130858.0
DE277,48744.0
DE278,63763.0
DE279,90305.0
DE27A,41750.0
DE27B,70627.0
DE27C,71079.0
DE27D,65915.0
DE27E,77709.0
DE3,1854953.0
DE30,1854953.0
DE300,1854953.0
DE4,1294449.0
DE40,1294449.0
DE401,37654.0
DE402,48803.0
DE403,29042.0
DE404,94694.0
DE405,97265.0
DE406,89216.0
DE407,50416.0
DE408,85591.0
DE409,99898.0
DE40A,110239.0
DE40B,55659.0
DE40C,91621.0
DE40D,50172.0
DE40E,110995.0
DE40F,38511.0
DE40G,56730.0
DE40H,87801.0
DE40I,60142.0
DE5,352498.0
DE50,352498.0
DE501,293071.0
DE502,59427.0
DE6,938138.0
DE60,938138.0
DE600,938138.0
DE7,3165950.0
DE71,2031469.0
DE711,79867.0
DE712,380791.0
DE713,64983.0
DE714,147229.0
DE715,138516.0
DE716,152085.0
DE717,133206.0
DE718,123103.0
DE719,210727.0
DE71A,121209.0
DE71B,47959.0
DE71C,179960.0
DE71D,94929.0
DE71E,156905.0
DE72,526613.0
DE721,135545.0
DE722,128572.0
DE723,87729.0
DE724,123513.0
DE725,51254.0
DE73,607868.0
DE731,100986.0
DE732,111607.0
DE733,59355.0
DE734,117887.0
DE735,90117.0
DE736,78311.0
DE737,49605.0
DE8,805327.0
DE80,805327.0
DE803,104705.0
DE804,50818.0
DE80J,127210.0
DE80K,110541.0
DE80L,111215.0
DE80M,79445.0
DE80N,116273.0
DE80O,105120.0
DE9,4050548.0
DE91,804168.0
DE911,127701.0
DE912,52565.0
DE913,64320.0
DE914,88368.0
DE916,64828.0
DE917,46033.0
DE918,64405.0
DE91A,69065.0
DE91B,60031.0
DE91C,166852.0
DE92,1081186.0
DE922,110983.0
DE923,77680.0
DE925,137383.0
DE926,33371.0
DE927,61275.0
DE928,80122.0
DE929,580372.0
DE93,872553.0
DE931,88321.0
DE932,101716.0
DE933,132903.0
DE934,24028.0
DE935,91753.0
DE936,58303.0
DE937,82404.0
DE938,72198.0
DE939,104088.0
DE93A,46653.0
DE93B,70186.0
DE94,1292641.0
DE941,41190.0
DE942,25080.0
DE943,90086.0
DE944,85292.0
DE945,38173.0
DE946,64766.0
DE947,96169.0
DE948,86359.0
DE949,163849.0
DE94A,51450.0
DE94B,71900.0
DE94C,85517.0
DE94D,66548.0
DE94E,180136.0
DE94F,72668.0
DE94G,44813.0
DE94H,28645.0
DEA,9147311.0
DEA1,2672505.0
DEA11,317597.0
DEA12,253330.0
DEA13,294120.0
DEA14,117621.0
DEA15,134916.0
DEA16,88779.0
DEA17,109746.0
DEA18,57407.0
DEA19,84615.0
DEA1A,182026.0
DEA1B,159738.0
DEA1C,252805.0
DEA1D,234049.0
DEA1E,151457.0
DEA1F,234299.0
DEA2,2269105.0
DEA22,166970.0
DEA23,524670.0
DEA24,85161.0
DEA26,139204.0
DEA27,241454.0
DEA28,100627.0
DEA29,131902.0
DEA2A,139147.0
DEA2B,145745.0
DEA2C,306867.0
DEA2D,287358.0
DEA3,1343952.0
DEA31,60980.0
DEA32,134112.0
DEA33,159442.0
DEA34,188977.0
DEA35,114251.0
DEA36,319091.0
DEA37,225082.0
DEA38,142017.0
DEA4,1048042.0
DEA41,170591.0
DEA42,181600.0
DEA43,129664.0
DEA44,69706.0
DEA45,177550.0
DEA46,161881.0
DEA47,157050.0
DEA5,1813707.0
DEA51,181531.0
DEA52,304202.0
