code,value
DE402,5.6
DE403,11.1
DE404,7.1
DE405,6.5
DE406,7.3
DE407,-9.4
DE408,7.3
DE409,4.3
DE40A,2.0
DE40B,-6.0
DE40C,4.2
DE40D,0.8
DE40E,4.9
DE40F,-2.3
DE40G,-4.5
DE40H,10.5
DE40I,-0.2
DE5,9.9
DE50,9.9
DE501,12.7
DE502,-4.1
DE6,10.3
DE60,10.3
DE600,10.3
DE7,4.9
DE71,5.7
DE711,15.3
DE712,2.9
DE713,9.9
DE714,8.6
DE715,4.4
DE716,4.4
DE717,6.0
DE718,8.7
DE719,7.9
DE71A,3.9
DE71B,-3.9
DE71C,7.4
DE71D,2.0
DE71E,4.4
DE72,4.5
DE721,6.8
DE722,4.9
DE723,4.6
DE724,3.7
DE725,-0.5
DE73,2.5
DE731,2.5
DE732,5.6
DE733,-1.5
DE734,1.8
DE735,5.3
DE736,0.4
DE737,0.1
DE8,1.3
DE80,1.3
DE803,5.1
DE804,2.4
DE80J,-0.6
DE80K,3.0
DE80L,0.9
DE80M,0.3
DE80N,-0.6
DE80O,0.6
DE9,3.2
DE91,1.9
DE911,1.3
DE912,4.7
DE913,10.5
DE914,2.9
DE916,-1.1
DE917,-3.2
DE918,-2.3
DE91A,1.9
DE91B,2.1
DE91C,1.9
DE92,3.0
DE922,5.0
DE923,-1.2
DE925,1.0
DE926,-3.0
DE927,3.5
DE928,1.9
DE929,4.1
DE93,3.1
DE931,2.3
DE932,2.5
DE933,6.9
DE934,0.5
DE935,7.3
DE936,-0.1
DE937,5.5
DE938,-14.7
DE939,6.2
DE93A,8.5
DE93B,3.5
DE94,4.0
DE941,7.3
DE942,2.8
DE943,10.2
DE944,-0.3
DE945,2.0
DE946,7.1
DE947,3.0
DE948,5.6
DE949,7.5
DE94A,3.7
DE94B,5.1
DE94C,-1.6
DE94D,5.6
DE94E,0.4
DE94F,5.8
DE94G,2.1
DE94H,1.1
DEA,3.0
DEA1,3.1
DEA11,3.1
DEA12,3.0
DEA13,3.2
DEA14,0.1
DEA15,1.2
DEA16,4.8
DEA17,1.2
DEA18,2.9
DEA19,5.1
DEA1A,0.1
DEA1B,7.9
DEA1C,1.1
DEA1D,3.5
DEA1E,7.2
DEA1F,3.7
DEA2,3.7
DEA22,-1.7
DEA23,3.1
DEA24,4.0
DEA26,6.4
DEA27,5.8
DEA28,13.0
DEA29,3.5
DEA2A,1.2
DEA2B,2.0
DEA2C,3.9
DEA2D,3.6
DEA3,5.3
DEA31,4.9
DEA32,9.9
DEA33,6.0
DEA34,7.0
DEA35,6.5
DEA36,1.5
DEA37,6.4
DEA38,4.0
DEA4,1.4
DEA41,0.4
DEA42,4.8
DEA43,-1.4
DEA44,0.7
DEA45,-1.9
DEA46,0.9
DEA47,5.4
DEA5,0.9
DEA51,2.3
DEA52,3.3
DEA53,3.6
DEA54,-0.6
DEA55,3.5
DEA56,-0.8
DEA57,0.7
DEA58,-4.2
DEA59,-0.7
DEA5A,-0.9
DEA5B,2.0
DEA5C,1.7
DEB,4.0
DEB1,3.4
DEB11,0.5
DEB12,5.2
DEB13,3.7
DEB14,3.6
DEB15,3.3
DEB17,3.8
DEB18,4.0
DEB1A,3.4
DEB1B,2.4
DEB1C,0.5
DEB1D,6.1
DEB2,3.4
DEB21,6.6
DEB22,0.2
DEB23,8.7
DEB24,2.6
DEB25,0.3
DEB3,4.6
DEB31,2.1
DEB32,2.5
DEB33,15.6
DEB34,11.1
DEB35,10.6
DEB36,-0.9
DEB37,6.4
DEB38,-0.1
DEB39,11.9
DEB3A,2.7
DEB3B,6.9
DEB3C,1.4
DEB3D,-1.7
DEB3E,5.7
DEB3F,3.1
DEB3G,-4.0
DEB3H,2.1
DEB3I,3.0
DEB3J,1.9
DEB3K,0.3
DEC,2.1
DEC0,2.1
DEC01,5.3
DEC02,-0.5
DEC03,0.9
DEC04,1.5
DEC05,-0.1
DEC06,0.6
DED,1.2
DED2,0.3
DED21,5.4
DED2C,-4.0
DED2D,-4.6
DED2E,-0.6
DED2F,-0.7
DED4,-0.9
DED41,9.2
DED42,-5.9
DED43,-0.8
DED44,-3.1
DED45,-2.1
DED5,5.2
DED51,7.3
DED52,4.4
DED53,-0.2
DEE,-2.6
DEE0,-2.6
DEE01,0.3
DEE02,1.0
DEE03,3.0
DEE04,-7.3
DEE05,-3.7
DEE06,-3.8
DEE07,-2.1
DEE08,0.2
DEE09,-7.2
DEE0A,-7.2
DEE0B,1.6
DEE0C,-7.8
DEE0D,-6.2
DEE0E,-4.7
DEF,4.7
DEF0,4.7
DEF01,2.2
DEF02,6.7
DEF03,4.5
DEF04,7.6
DEF05,3.1
DEF06,5.9
DEF07,6.9
DEF08,3.6
DEF09,5.9
DEF0A,1.1
DEF0B,3.3
DEF0C,2.5
DEF0D,8.3
DEF0E,5.6
DEF0F,1.5
DEG,-1.9
DEG0,-1.9
DEG01,3.6
DEG02,13.1
DEG03,-3.6
DEG05,0.3
DEG06,33.1
DEG07,-3.8
DEG09,-40.4
DEG0A,-6.4
DEG0C,-2.8
DEG0D,-3.2
DEG0E,-9.5
DEG0G,-3.4
DEG0J,5.3
DEG0K,-7.0
DEG0L,-8.4
DEG0M,-0.9
DEG0Q,-5.3
DEG0R,-1.5
DEG0S,-0.5
DEG0T,0.3
DEG0U,-4.4
DEG0V,-8.1
DK,4.8
DK0,4.8
DK01,10.1
DK011,8.2
DK012,18.0
DK013,5.3
DK014,-6.9
DK02,3.6
DK021,8.9
DK022,1.3
DK03,0.8
DK031,1.6
DK032,0.3
DK04,5.0
DK041,-2.4
DK042,8.4
DK05,-2.5
DK050,-2.5
EE,6.4
EE0,6.4
EE00,6.4
EE001,12.8
EE004,3.1
EE008,3.2
EE009,1.2
EE00A,-8.1
EL,-2.5
EL3,-4.3
EL30,-4.3
EL301,-5.4
EL302,-11.7
EL303,-8.3
EL304,-8.3
EL305,12.4
EL306,-1.8
EL307,-2.7
EL4,4.3
EL41,29.6
EL411,49.9
EL412,6.9
EL413,7.6
EL42,-0.2
EL421,7.6
EL422,-13.9
EL43,-1.3
EL431,-3.2
EL432,-2.1
EL433,2.8
EL434,0.6
EL5,-1.5
EL51,4.1
EL511,9.6
EL512,0.7
EL513,9.4
EL514,13.9
EL515,-9.8
EL52,-3.1
EL521,-0.3
EL522,-3.3
EL523,0.9
EL524,-14.8
EL525,-10.2
EL526,13.1
EL527,-9.1
EL53,-13.2
EL531,-12.7
EL532,-15.2
EL533,-13.1
EL54,6.9
EL541,-8.8
EL542,-3.6
EL543,20.7
EL6,-4.0
EL61,-4.6
EL611,-7.7
EL612,-1.8
EL613,-4.8
EL62,-9.3
EL621,-9.2
EL622,-11.8
EL623,-3.4
EL624,-8.2
EL63,-5.0
EL631,-14.3
EL632,-5.6
EL633,7.9
EL64,1.3
EL641,9.7
EL642,4.6
EL643,3.3
EL644,-13.0
EL645,9.5
EL65,-5.3
EL651,-8.4
EL652,-1.7
EL653,-5.1
ES,11.1
ES1,2.9
ES11,2.4
ES111,4.1
ES112,2.4
ES113,-0.3
ES114,1.2
ES12,3.5
ES120,3.5
ES13,4.2
ES130,4.2
ES2,6.5
ES21,5.1
ES211,6.8
ES212,4.1
ES213,5.3
ES22,9.1
ES220,9.1
ES23,5.9
ES230,5.9
ES24,7.7
ES241,7.2
ES242,1.9
ES243,8.5
ES3,19.8
ES30,19.8
ES300,19.8
ES4,5.2
ES41,3.3
ES411,4.4
ES412,6.6
ES413,-1.7
ES414,1.7
ES415,1.4
ES416,8.3
ES417,6.1
ES418,7.2
ES419,-4.0
ES42,9.7
ES421,4.0
ES422,2.1
ES423,3.0
ES424,18.5
ES425,16.4
ES43,0.4
ES431,0.0
ES432,1.0
ES5,16.3
ES51,13.9
ES511,13.8
ES512,15.3
ES513,9.7
ES514,15.4
ES52,19.6
ES521,19.3
ES522,18.2
ES523,20.1
ES53,17.9
ES531,14.0
ES532,18.3
ES533,20.7
ES6,6.3
ES61,5.5
ES611,10.0
ES612,3.1
ES613,-0.9
ES614,6.1
ES615,3.1
ES616,-2.6
ES617,12.5
ES618,4.7
ES62,10.8
ES620,10.8
ES63,1.5
ES630,1.5
ES64,5.7
ES640,5.7
ES7,11.6
ES70,11.6
ES703,10.8
ES704,20.1
ES705,8.2
ES706,6.5
ES707,12.3
ES708,27.5
ES709,10.9
FI,7.1
FI1,7.1
FI19,5.5
FI196,-3.8
FI198,3.1
FI199,-1.2
FI19A,7.2
FI19B,12.4
FI1B,15.2
FI1B1,15.2
FI1C,3.6
FI1C1,10.7
FI1C2,0.1
FI1C5,-1.5
FI1C6,-0.2
FI1C7,-5.2
FI1D,1.1
FI1D5,-1.0
FI1D7,2.0
FI1D8,-5.1
FI1D9,4.0
FI1DA,-4.1
FI1DB,2.0
FI1DC,-1.3
FI2,6.0
FI20,6.0
FI200,6.0
FR,3.4
FR1,3.6
FR10,3.6
FR101,-9.0
FR102,7.9
