code,value
AL,2761785.0
AL0,2761785.0
AL01,771020.0
AL011,106380.0
AL012,289797.0
AL013,71498.0
AL014,114181.0
AL015,189164.0
AL02,1177987.0
AL021,252719.0
AL022,925268.0
AL03,812778.0
AL031,111431.0
AL032,271672.0
AL033,53314.0
AL034,192925.0
AL035,183436.0
AT,9104772.0
AT1,4001720.0
AT11,301250.0
AT111,37743.0
AT112,165099.0
AT113,98408.0
AT12,1718373.0
AT121,250280.0
AT122,266608.0
AT123,160474.0
AT124,216454.0
AT125,127564.0
AT126,342995.0
AT127,353998.0
AT13,1982097.0
AT130,1982097.0
AT2,1834182.0
AT21,568984.0
AT211,296535.0
AT212,124016.0
AT213,148433.0
AT22,1265198.0
AT221,460887.0
AT222,79831.0
AT223,158478.0
AT224,267680.0
AT225,199351.0
AT226,98971.0
AT3,3268870.0
AT31,1522825.0
AT311,296756.0
AT312,609580.0
AT313,213934.0
AT314,158099.0
AT315,244456.0
AT32,568346.0
AT321,20437.0
AT322,172190.0
AT323,375719.0
AT33,771304.0
AT331,33607.0
AT332,316099.0
AT333,48854.0
AT334,107373.0
AT335,265371.0
AT34,406395.0
AT341,94304.0
AT342,312091.0
BE,11742796.0
BE1,1253178.0
BE10,1253178.0
BE100,1253178.0
BE2,6787969.0
BE21,1915921.0
BE211,1081771.0
BE212,357030.0
BE213,477120.0
BE22,898619.0
BE223,209283.0
BE224,430313.0
BE225,259023.0
BE23,1563346.0
BE231,302438.0
BE232,206414.0
BE233,88926.0
BE234,575067.0
BE235,127476.0
BE236,263025.0
BE24,1188079.0
BE241,664977.0
BE242,523102.0
BE25,1222004.0
BE251,286273.0
BE252,52481.0
BE253,108132.0
BE254,299959.0
BE255,159568.0
BE256,158224.0
BE257,95314.0
BE258,62053.0
BE3,3701649.0
BE31,413959.0
BE310,413959.0
BE32,1361026.0
BE323,260958.0
BE328,226990.0
BE329,142599.0
BE32A,130236.0
BE32B,399827.0
BE32C,107691.0
BE32D,92725.0
BE33,1122360.0
BE331,115896.0
BE332,630743.0
BE334,83938.0
BE335,211971.0
BE336,79812.0
BE34,297654.0
BE341,65917.0
BE342,51653.0
BE343,58725.0
BE344,66150.0
BE345,55209.0
BE35,506650.0
BE351,114458.0
BE352,324117.0
BE353,68075.0
BG,6447710.0
BG3,3130130.0
BG31,671502.0
BG311,72754.0
BG312,116172.0
BG313,148874.0
BG314,220346.0
BG315,113356.0
BG32,686334.0
BG321,204033.0
BG322,95957.0
BG323,189623.0
BG324,101107.0
BG325,95614.0
BG33,823884.0
BG331,430847.0
BG332,147208.0
BG333,149628.0
BG334,96201.0
BG34,948410.0
BG341,378596.0
BG342,170583.0
BG343,107379.0
BG344,291852.0
BG4,3317580.0
BG41,2016554.0
BG411,1280334.0
BG412,227610.0
BG413,288161.0
BG414,111746.0
BG415,108703.0
BG42,1301026.0
BG421,631516.0
BG422,207439.0
BG423,226209.0
BG424,93354.0
BG425,142508.0
CH,8815385.0
CH0,8815385.0
CH01,1701827.0
CH011,830431.0
CH012,357282.0
CH013,514114.0
CH02,1918746.0
CH021,1051437.0
CH022,334465.0
CH023,282408.0
CH024,176571.0
CH025,73865.0
CH03,1202435.0
CH031,196786.0
CH032,294417.0
CH033,711232.0
CH04,1579967.0
CH040,1579967.0
CH05,1217015.0
