code,value
AL,38.9
AL0,38.9
AL01,38.9
AL011,38.1
AL012,38.4
AL013,38.7
AL014,40.9
AL015,39.3
AL02,37.5
AL021,41.0
AL022,36.8
AL03,41.3
AL031,42.4
AL032,41.2
AL033,44.8
AL034,40.0
AL035,41.4
AT,43.6
AT1,42.9
AT11,48.4
AT111,50.3
AT112,47.1
AT113,50.0
AT12,45.8
AT121,43.8
AT122,45.4
AT123,44.7
AT124,48.4
AT125,48.2
AT126,45.9
AT127,45.8
AT13,39.7
AT130,39.7
AT2,46.0
AT21,47.6
AT211,46.8
AT212,48.9
AT213,48.0
AT22,45.3
AT221,41.1
AT222,48.2
AT223,49.4
AT224,46.7
AT225,47.5
AT226,48.9
AT3,43.2
AT31,43.4
AT311,43.6
AT312,42.5
AT313,43.6
AT314,44.7
AT315,44.5
AT32,43.5
AT321,46.4
AT322,43.9
AT323,43.2
AT33,43.2
AT331,45.6
AT332,42.2
AT333,46.4
AT334,42.6
AT335,43.8
AT34,42.4
AT341,43.0
AT342,42.2
BE,41.9
BE1,35.9
BE10,35.9
BE100,35.9
BE2,43.3
BE21,42.0
BE211,40.5
BE212,43.0
BE213,44.6
BE22,44.7
BE223,45.5
BE224,44.3
BE225,44.8
BE23,42.7
BE231,43.9
BE232,43.9
BE233,44.9
BE234,41.2
BE235,44.2
BE236,42.4
BE24,42.4
BE241,41.8
BE242,43.3
BE25,45.9
BE251,48.2
BE252,43.6
BE253,44.3
BE254,43.1
BE255,50.4
BE256,43.0
BE257,43.6
BE258,56.2
BE3,41.8
BE31,42.8
BE310,42.8
BE32,41.9
BE323,41.8
BE328,42.3
BE329,42.1
BE32A,43.1
BE32B,40.9
BE32C,42.0
BE32D,43.8
BE33,41.6
BE331,42.1
BE332,41.1
BE334,42.9
BE335,41.6
BE336,43.8
BE34,40.2
BE341,39.2
BE342,38.6
BE343,42.4
BE344,40.2
BE345,40.7
BE35,41.9
BE351,42.6
BE352,41.3
BE353,44.0
BG,46.8
BG3,48.2
BG31,50.2
BG311,52.6
BG312,50.6
BG313,48.5
BG314,50.3
BG315,50.3
BG32,50.1
BG321,49.6
BG322,51.8
BG323,49.7
BG324,49.3
BG325,51.1
BG33,46.9
BG331,44.9
BG332,50.2
BG333,48.7
BG334,49.2
BG34,46.5
BG341,46.1
BG342,44.6
BG343,49.0
BG344,47.4
BG4,45.6
BG41,44.5
BG411,42.8
BG412,47.3
BG413,46.2
BG414,48.8
BG415,50.9
BG42,47.5
BG421,45.6
BG422,48.6
BG423,48.2
BG424,52.3
BG425,50.5
CH,42.9
CH0,42.9
CH01,41.3
CH011,40.5
CH012,43.9
CH013,40.9
CH02,43.8
CH021,44.8
CH022,40.8
CH023,44.5
CH024,42.9
CH025,44.8
CH03,43.6
CH031,42.4
CH032,46.3
CH033,42.9
CH04,41.3
CH040,41.3
CH05,43.5
CH051,44.4
CH052,45.0
CH053,44.8
CH054,43.7
CH055,42.2
CH056,46.7
CH057,43.1
CH06,43.4
CH061,42.1
CH062,45.0
CH063,44.7
CH064,44.9
CH065,46.9
CH066,43.7
CH07,48.0
CH070,48.0
CY,40.2
CY0,40.2
CY00,40.2
CY000,40.2
CZ,43.5
CZ0,43.5
CZ01,41.6
CZ010,41.6
CZ02,42.4
CZ020,42.4
CZ03,44.0
CZ031,44.2
CZ032,43.7
CZ04,44.2
CZ041,45.0
CZ042,44.0
CZ05,44.1
CZ051,43.7
CZ052,44.8
CZ053,43.7
CZ06,43.5
CZ063,44.3
CZ064,43.2
CZ07,44.8
CZ071,44.6
CZ072,45.0
CZ08,44.6
CZ080,44.6
DE,45.7
DE1,44.3
DE11,44.1
DE111,40.4
DE112,44.0
DE113,44.8
DE114,45.8
DE115,44.4
DE116,45.7
DE117,41.0
DE118,44.4
DE119,44.6
DE11A,44.0
DE11B,47.8
DE11C,45.5
DE11D,45.2
DE12,44.4
DE121,50.2
DE122,41.2
DE123,46.3
DE124,47.1
DE125,35.6
DE126,41.1
DE127,47.3
DE128,46.4
DE129,41.8
DE12A,45.8
DE12B,46.3
DE12C,45.7
DE13,44.6
DE131,37.7
DE132,46.5
DE133,46.0
DE134,45.6
DE135,45.8
DE136,45.5
DE137,43.5
DE138,44.5
DE139,45.3
DE13A,45.4
DE14,44.2
DE141,45.1
DE142,40.5
DE143,46.7
DE144,40.5
DE145,44.0
DE146,43.6
DE147,47.0
DE148,44.4
DE149,45.5
DE2,44.8
DE21,43.3
DE211,41.2
DE212,39.8
DE213,42.9
DE214,46.2
DE215,46.7
DE216,46.3
DE217,44.2
DE218,44.5
DE219,43.1
DE21A,44.0
DE21B,42.0
DE21C,45.6
DE21D,49.1
DE21E,46.5
DE21F,47.7
DE21G,44.9
DE21H,44.7
DE21I,44.4
DE21J,43.7
DE21K,46.7
DE21L,48.2
DE21M,47.5
DE21N,46.5
DE22,45.9
DE221,43.4
DE222,42.5
DE223,45.1
DE224,45.7
DE225,49.0
DE226,44.3
DE227,44.9
